date,time,ticker,close
2020-01-02,9,TKR1,100.3214
2020-01-02,9,TKR2,100.1569
2020-01-02,9,TKR3,99.2151
2020-01-02,10,TKR1,100.3896
2020-01-02,10,TKR2,100.3049
2020-01-02,10,TKR3,98.9261
2020-01-02,11,TKR1,100.3577
2020-01-02,11,TKR2,100.3092
2020-01-02,11,TKR3,98.9535
2020-01-02,12,TKR1,100.4497
2020-01-02,12,TKR2,100.2381
2020-01-02,12,TKR3,99.0394
2020-01-02,13,TKR1,100.352
2020-01-02,13,TKR2,100.4833
2020-01-02,13,TKR3,99.0672
2020-01-02,14,TKR1,100.3064
2020-01-02,14,TKR2,100.3804
2020-01-02,14,TKR3,98.9465
2020-01-03,9,TKR1,99.7086
2020-01-03,9,TKR2,99.6894
2020-01-03,9,TKR3,99.6069
2020-01-03,10,TKR1,99.5746
2020-01-03,10,TKR2,99.6294
2020-01-03,10,TKR3,99.7884
2020-01-03,11,TKR1,99.5576
2020-01-03,11,TKR2,99.5777
2020-01-03,11,TKR3,99.5802
2020-01-03,12,TKR1,99.4859
2020-01-03,12,TKR2,99.6775
2020-01-03,12,TKR3,99.8265
2020-01-03,13,TKR1,99.5983
2020-01-03,13,TKR2,99.6966
2020-01-03,13,TKR3,99.727
2020-01-03,14,TKR1,99.541
2020-01-03,14,TKR2,99.6324
2020-01-03,14,TKR3,99.8447
2020-01-06,9,TKR1,99.9135
2020-01-06,9,TKR2,99.9371
2020-01-06,9,TKR3,99.9133
2020-01-06,10,TKR1,99.871
2020-01-06,10,TKR2,99.801
2020-01-06,10,TKR3,99.8371
2020-01-06,11,TKR1,99.9334
2020-01-06,11,TKR2,99.8664
2020-01-06,11,TKR3,99.984
2020-01-06,12,TKR1,99.8803
2020-01-06,12,TKR2,99.6987
2020-01-06,12,TKR3,99.9414
2020-01-06,13,TKR1,99.8695
2020-01-06,13,TKR2,99.76
2020-01-06,13,TKR3,99.9674
2020-01-06,14,TKR1,99.9442
2020-01-06,14,TKR2,100.0289
2020-01-06,14,TKR3,100.0009
2020-01-07,9,TKR1,100.0532
2020-01-07,9,TKR2,100.1035
2020-01-07,9,TKR3,100.5419
2020-01-07,10,TKR1,100.1019
2020-01-07,10,TKR2,100.005
2020-01-07,10,TKR3,100.5388
2020-01-07,11,TKR1,100.046
2020-01-07,11,TKR2,100.2075
2020-01-07,11,TKR3,100.44
2020-01-07,12,TKR1,100.3073
2020-01-07,12,TKR2,100.0818
2020-01-07,12,TKR3,100.4998
2020-01-07,13,TKR1,100.2336
2020-01-07,13,TKR2,100.037
2020-01-07,13,TKR3,100.5547
2020-01-07,14,TKR1,100.283
2020-01-07,14,TKR2,99.9994
2020-01-07,14,TKR3,100.5504
2020-01-08,9,TKR1,99.9765
2020-01-08,9,TKR2,99.8635
2020-01-08,9,TKR3,100.4198
2020-01-08,10,TKR1,99.9019
2020-01-08,10,TKR2,100.0278
2020-01-08,10,TKR3,100.5131
2020-01-08,11,TKR1,99.8361
2020-01-08,11,TKR2,99.8702
2020-01-08,11,TKR3,100.2345
2020-01-08,12,TKR1,99.7791
2020-01-08,12,TKR2,99.9379
2020-01-08,12,TKR3,100.3576
2020-01-08,13,TKR1,99.8883
2020-01-08,13,TKR2,100.0283
2020-01-08,13,TKR3,100.3248
2020-01-08,14,TKR1,100.006
2020-01-08,14,TKR2,99.9191
2020-01-08,14,TKR3,100.5955
2020-01-09,9,TKR1,99.9399
2020-01-09,9,TKR2,99.5754
2020-01-09,9,TKR3,99.7951
2020-01-09,10,TKR1,99.9902
2020-01-09,10,TKR2,99.798
2020-01-09,10,TKR3,99.8647
2020-01-09,11,TKR1,99.7964
2020-01-09,11,TKR2,99.5959
2020-01-09,11,TKR3,99.8108
2020-01-09,12,TKR1,99.9855
2020-01-09,12,TKR2,99.7412
2020-01-09,12,TKR3,100.1446
2020-01-09,13,TKR1,99.9912
2020-01-09,13,TKR2,99.8033
2020-01-09,13,TKR3,99.8547
2020-01-09,14,TKR1,99.9993
2020-01-09,14,TKR2,99.6582
2020-01-09,14,TKR3,99.8352
2020-01-10,9,TKR1,100.0212
2020-01-10,9,TKR2,99.7988
2020-01-10,9,TKR3,99.5664
2020-01-10,10,TKR1,99.8255
2020-01-10,10,TKR2,99.6692
2020-01-10,10,TKR3,99.8541
2020-01-10,11,TKR1,99.7276
2020-01-10,11,TKR2,99.7239
2020-01-10,11,TKR3,99.8194
2020-01-10,12,TKR1,99.8934
2020-01-10,12,TKR2,99.6154
2020-01-10,12,TKR3,99.7354
2020-01-10,13,TKR1,99.7594
2020-01-10,13,TKR2,99.6701
2020-01-10,13,TKR3,99.9454
2020-01-10,14,TKR1,99.8474
2020-01-10,14,TKR2,99.6093
2020-01-10,14,TKR3,99.8607
2020-01-13,9,TKR1,100.4862
2020-01-13,9,TKR2,99.0497
2020-01-13,9,TKR3,99.7948
2020-01-13,10,TKR1,100.3431
2020-01-13,10,TKR2,99.0951
2020-01-13,10,TKR3,99.7247
2020-01-13,11,TKR1,100.362
2020-01-13,11,TKR2,99.1332
2020-01-13,11,TKR3,99.6855
2020-01-13,12,TKR1,100.3035
2020-01-13,12,TKR2,99.2046
2020-01-13,12,TKR3,99.7447
2020-01-13,13,TKR1,100.5007
2020-01-13,13,TKR2,99.0695
2020-01-13,13,TKR3,99.8918
2020-01-13,14,TKR1,100.1468
2020-01-13,14,TKR2,99.1781
2020-01-13,14,TKR3,99.7374
2020-01-14,9,TKR1,99.9712
2020-01-14,9,TKR2,100.4035
2020-01-14,9,TKR3,100.0677
2020-01-14,10,TKR1,99.8233
2020-01-14,10,TKR2,100.4409
2020-01-14,10,TKR3,100.1229
2020-01-14,11,TKR1,99.926
2020-01-14,11,TKR2,100.5441
2020-01-14,11,TKR3,100.1435
2020-01-14,12,TKR1,99.8456
2020-01-14,12,TKR2,100.5309
2020-01-14,12,TKR3,99.982
2020-01-14,13,TKR1,99.8759
2020-01-14,13,TKR2,100.4497
2020-01-14,13,TKR3,100.0227
2020-01-14,14,TKR1,99.903
2020-01-14,14,TKR2,100.3809
2020-01-14,14,TKR3,100.2222
2020-01-15,9,TKR1,100.2209
2020-01-15,9,TKR2,99.8127
2020-01-15,9,TKR3,99.5777
2020-01-15,10,TKR1,100.2196
2020-01-15,10,TKR2,99.7186
2020-01-15,10,TKR3,99.484
2020-01-15,11,TKR1,100.1246
